,name,categories,lat,lng
0,Hall of Flame Burger,Burger Joint,37.717599404087025,-122.47391632685625
1,Cafe Rosso,Café,37.722881250301704,-122.48044244333092
2,Trader Joe's,Grocery Store,37.726665,-122.476159
3,Apple Stonestown,Electronics Store,37.7272034551688,-122.47689163558198
4,See's Candies,Candy Store,37.72787026212226,-122.47695621960317
5,Marugame Udon,Udon Restaurant,37.72753502992446,-122.47614774426498
6,Blaze Pizza,Pizza Place,37.727931,-122.476536
7,Lush Fresh Handmade Cosmetics,Cosmetics Shop,37.72814549961034,-122.47699025930875
8,85C Bakery Cafe - Stonestown,Bakery,37.72791847111096,-122.47628171618449
9,Stonestown Farmers Market,Farmers Market,37.730126917341096,-122.47915000470392
10,Typo,Hobby Shop,37.728020914556545,-122.47699856618559
11,Holy Trinity Center,Church,37.714081227266895,-122.48305982581438
12,Ike's Place,Sandwich Place,37.72218981225139,-122.47854471586759
13,Pet Food Express,Pet Store,37.73017119738308,-122.4757099302423
14,Lake Merced Run Loop,Trail,37.71346282509337,-122.48560584679014
15,Stonestown YMCA,Gym,37.730936304260915,-122.47657453461501
16,Peet's Coffee & Tea,Coffee Shop,37.721102369383594,-122.47824668884277
17,Yoga Flow SF,Yoga Studio,37.72492275630799,-122.46242120711725
18,Hallmark,Gift Shop,37.72718555048783,-122.47723313150009
19,TPC Harding Park,Park,37.724099047188375,-122.49380220097231
20,Junipero Serra Playground,Playground,37.72598244226938,-122.4684616229121
21,UNIQLO,Clothing Store,37.72838963378139,-122.47700837724764
22,Victoria's Secret PINK,Lingerie Store,37.7274383895913,-122.47707351172092
23,Zanze's Cheesecake,Dessert Shop,37.73008564259818,-122.46981131436273
24,Wetzel's Pretzels,Snack Place,37.727219865606614,-122.47715431398332
25,Marketplace Cafe,Café,37.726605654060464,-122.47750103473663
26,Shabu House,Japanese Restaurant,37.73186168350412,-122.47330900473762
27,Off the Grid: Golden Gate Fields,Food Truck,37.72944117980424,-122.47488826693592
28,Stern Grove Festival,Music Venue,37.73603524671943,-122.4791052432743
29,Fleming Golf Course,Golf Course,37.72486659802136,-122.49372551680322
30,Sigmund Stern Grove,Park,37.7358879560395,-122.47670132319354
31,Dinosaurs 2,Vietnamese Restaurant,37.731517504965346,-122.47257553990343
32,Cocola Bakery,Bakery,37.72784218971036,-122.4767595204661
33,SEPHORA,Cosmetics Shop,37.727611,-122.476862
34,Brooks Park,Park,37.71755814416057,-122.46717689875875
35,Lovesac Alternative Furniture Co.,Furniture / Home Store,37.7277971,-122.4773765
36,Nordstrom,Department Store,37.726580196476,-122.47758150100708
37,Tokyo Express,Japanese Restaurant,37.72782486735322,-122.47678254485152
38,Stern Grove Dog Park,Dog Run,37.736299012667054,-122.4843567609787
39,The Fog Lifter Café,Café,37.725141,-122.462488
40,Ocean Ale House,Gastropub,37.72412757442616,-122.45683587457252
41,Charlie Sava Pool,Pool,37.73764751153004,-122.47560521000348
42,Great Steak,Sandwich Place,37.727954,-122.476628
43,Charming Charlie,Accessories Store,37.72726852,-122.476929
44,Gymboree,Kids Store,37.7279676980609,-122.47697601864046
45,The Olympic Club Golf Course,Golf Course,37.70928331456761,-122.49456920197862
46,GameStop,Video Game Store,37.72841648518742,-122.47704186738264
47,Zara,Clothing Store,37.72740707016661,-122.47709918675068
48,City Sports Club,Gym,37.729771521887216,-122.47637167665974
49,Jamba Juice,Juice Bar,37.727347236035826,-122.47705840310627
50,LensCrafters,Optical Shop,37.7278345766904,-122.47698087720477
51,lululemon,Sporting Goods Shop,37.72788276498311,-122.47705578804016
52,The Boneyard Truck,Food Truck,37.727191148901035,-122.47484957331918
53,Whole Foods Market,Grocery Store,37.72375891444195,-122.45489360939011
54,Ballast Coffee,Coffee Shop,37.73755219211939,-122.46945399580734
55,Peet's Coffee & Tea,Coffee Shop,37.727715,-122.476555
56,Super Cue Cafe,Bubble Tea Shop,37.72417474352386,-122.45702888087783
57,Godiva Chocolatier,Chocolate Shop,37.7280396,-122.4769276
58,Stonestown Galleria,Shopping Mall,37.727732290608266,-122.47653549618488
59,Cool Tea Bar,Bubble Tea Shop,37.732277482312625,-122.47441044515813
60,WW (Weight Watchers),Weight Loss Center,37.73000720808547,-122.4771443057601
61,Kaisen Don,Japanese Restaurant,37.725512759474775,-122.46301464251765
62,Bacon Bacon,Food Truck,37.73937361668216,-122.47428022272986
63,La Baguette,Bakery,37.72716748968099,-122.47723824286889
64,Beep's Burgers,Burger Joint,37.723396058466584,-122.45399772151599
65,Thriveability,Yoga Studio,37.73787479269694,-122.46925394926183
66,Champa Garden,Asian Restaurant,37.72493826945924,-122.46004675400988
67,Two Cats Comic Book Store,Comic Shop,37.737769254989594,-122.46959304362905
68,Ming Kee Restaurant 明記燒臘茶餐廳,BBQ Joint,37.72459831123632,-122.45905878984257
69,Philz Coffee,Coffee Shop,37.723478884185766,-122.45374876198406
70,Bart Grocery,Korean Restaurant,37.70567164571286,-122.46415138464225
71,Joyful Kitchen,Chinese Restaurant,37.725376798334565,-122.46272186158328
72,Aptos Park,Playground,37.72835425301778,-122.46637532605291
73,Minnie & Lovie Ward Recreation Center & Park,Playground,37.71624793773728,-122.4574327468872
74,Boulevard Cafe,Diner,37.70395577861726,-122.4753953408699
75,Comix Experience Outpost,Comic Shop,37.72997944009738,-122.46941164382011
76,Pine Lake Park,Park,37.736825612699306,-122.48883361808817
77,24 Hour Fitness,Gym / Fitness Center,37.710426640820295,-122.46809100094424
78,Peet's Coffee & Tea,Coffee Shop,37.733589,-122.489709
79,Petco,Pet Store,37.73381509128629,-122.49092808510802
80,St. Francis Wood Park,Park,37.736885804766494,-122.46504304333878
81,"Gymboree Play & Music, San Francisco",Gym,37.733536,-122.4894614
82,Harding Park Picnic Area,Park,37.726398545949166,-122.49985924096045
83,Pakwan Restaurant,Pakistani Restaurant,37.72348113608998,-122.45388596926179
84,Elevate Group Fitness - Ocean Avenue,Yoga Studio,37.724877248546996,-122.46033666199529
85,Pho Ha Tien,Noodle House,37.725319613903984,-122.46228561767212
86,St. Francis Wood Fountain,Fountain,37.732023469615676,-122.46408398191271
87,The UPS Store,Shipping Store,37.7330824,-122.491182
88,Chase Bank,Bank,37.724443,-122.460059
89,Pokihub,Poke Place,37.72343254029862,-122.45384425676087
90,Ono Hawaiian BBQ,Hawaiian Restaurant,37.733825393675744,-122.48944070064378
91,Ross Dress for Less,Clothing Store,37.732664768808505,-122.49088911561755
92,7-Eleven,Convenience Store,37.7265082,-122.4646315
93,Just Won Ton,Chinese Restaurant,37.738953,-122.480425
94,Legend Billiards,Pool Hall,37.72591087843725,-122.46369588580497
95,The Manor,Diner,37.73767664554628,-122.46928994570207
96,GNC,Supplement Shop,37.73274491930814,-122.49129295349121
97,FedEx Office Print & Ship Center,Shipping Store,37.733804849204304,-122.49014005066329
98,Redbox,Video Store,37.733033,-122.489678
99,Java on Ocean Coffee House,Café,37.724834603402385,-122.4600780246194
