,Postcode,Borough,Neighbourhood,Latitude,Longitude
0,M1B,Scarborough,"Rouge, Malvern",43.81165000000004,-79.19556138899998
1,M1C,Scarborough,"Highland Creek, Rouge Hill, Port Union",43.78560500000003,-79.15870110299994
2,M1E,Scarborough,"Guildwood, Morningside, West Hill",43.76569000000006,-79.17529924399997
3,M1G,Scarborough,Woburn,43.76821641200007,-79.21760999999998
4,M1H,Scarborough,Cedarbrae,43.769608066000046,-79.23943999999995
5,M1J,Scarborough,Scarborough Village,43.743085000000065,-79.23217158499995
6,M1K,Scarborough,"East Birchmount Park, Ionview, Kennedy Park",43.72625965800006,-79.26366999999993
7,M1L,Scarborough,"Clairlea, Golden Mile, Oakridge",43.71321309600006,-79.28490999999997
8,M1M,Scarborough,"Cliffcrest, Cliffside, Scarborough Village West",43.72357500000004,-79.23497617799995
9,M1N,Scarborough,"Birch Cliff, Cliffside West",43.696690000000046,-79.26006895899997
10,M1P,Scarborough,"Dorset Park, Scarborough Town Centre, Wexford Heights",43.759975000000054,-79.26897402899993
11,M1R,Scarborough,"Maryvale, Wexford",43.75080267200008,-79.30055999999996
12,M1S,Scarborough,Agincourt,43.79394000000008,-79.26797613999997
13,M1T,Scarborough,"Clarks Corners, Sullivan, Tam O'Shanter",43.78472500000004,-79.29924441799994
14,M1V,Scarborough,"Agincourt North, L'Amoreaux East, Milliken, Steeles East",43.81759500000004,-79.28014659999997
15,M1W,Scarborough,"L'Amoreaux West, Steeles West",43.80069800200005,-79.32073999999994
16,M1X,Scarborough,Upper Rouge,43.83421500000003,-79.21670085099998
17,M2H,North York,Hillcrest Village,43.80284500000005,-79.35623615099996
18,M2J,North York,"Fairview, Henry Farm, Oriole",43.78081000000003,-79.34778216099994
19,M2K,North York,Bayview Village,43.781015000000025,-79.38054242199996
20,M2L,North York,"Silver Hills, York Mills",43.75717700000007,-79.37993999999998
21,M2M,North York,"Newtonbrook, Willowdale",43.791300000000035,-79.41354639199994
22,M2N,North York,Willowdale South,43.76816500000007,-79.40741984599998
