,edu_location,edu_Latitude,_Longitude,location_id,Venue,venue_id,Venue Latitude,Venue Longitude,Venue Category,Venue Category Plural,Venue Category Short,sub_id
0,San Francisco State University,37.7208542626991,-122.47708049999999,0,See's Candies,4b5ba39ff964a520db0c29e3,37.72787026212226,-122.47695621960317,Candy Store,Candy Stores,Candy Store,4bf58dd8d48988d117951735
1,San Francisco State University,37.7208542626991,-122.47708049999999,0,Trader Joe's,4a8ae30ff964a520bc0a20e3,37.726665,-122.476159,Grocery Store,Grocery Stores,Grocery Store,4bf58dd8d48988d118951735
2,San Francisco State University,37.7208542626991,-122.47708049999999,0,Marugame Udon,5a3b267d4940bc2abc94d088,37.72753502992446,-122.47614774426498,Udon Restaurant,Udon Restaurants,Udon,55a59bace4b013909087cb2a
3,San Francisco State University,37.7208542626991,-122.47708049999999,0,Hall of Flame Burger,4b7f38cdf964a520362030e3,37.717599404087025,-122.47391632685625,Burger Joint,Burger Joints,Burgers,4bf58dd8d48988d16c941735
4,San Francisco State University,37.7208542626991,-122.47708049999999,0,Apple Stonestown,4a22d2adf964a520907d1fe3,37.7272034551688,-122.47689163558198,Electronics Store,Electronics Stores,Electronics,4bf58dd8d48988d122951735
5,San Francisco State University,37.7208542626991,-122.47708049999999,0,Blaze Pizza,55145ef3498e4d9691a639d5,37.727931,-122.476536,Pizza Place,Pizza Places,Pizza,4bf58dd8d48988d1ca941735
6,San Francisco State University,37.7208542626991,-122.47708049999999,0,Cafe Rosso,4aa0126af964a5202b3e20e3,37.722881250301704,-122.48044244333092,Café,Cafés,Café,4bf58dd8d48988d16d941735
7,San Francisco State University,37.7208542626991,-122.47708049999999,0,Lush Fresh Handmade Cosmetics,5484ed40498e54a29873b1e5,37.72814549961034,-122.47699025930875,Cosmetics Shop,Cosmetics Shops,Cosmetics,4bf58dd8d48988d10c951735
8,San Francisco State University,37.7208542626991,-122.47708049999999,0,Stonestown Farmers Market,4ac8eec6f964a52062bd20e3,37.730126917341096,-122.47915000470392,Farmers Market,Farmers Markets,Farmer's Market,4bf58dd8d48988d1fa941735
9,San Francisco State University,37.7208542626991,-122.47708049999999,0,TPC Harding Park,49ff224af964a520db6f1fe3,37.724099047188375,-122.49380220097231,Park,Parks,Park,4bf58dd8d48988d163941735
10,San Francisco State University,37.7208542626991,-122.47708049999999,0,85C Bakery Cafe - Stonestown,5b942774deb4950025220c76,37.72791847111096,-122.47628171618449,Bakery,Bakeries,Bakery,4bf58dd8d48988d16a941735
11,San Francisco State University,37.7208542626991,-122.47708049999999,0,Lake Merced Run Loop,4f7891b0e4b0b009ef5f45b6,37.71346282509337,-122.48560584679014,Trail,Trails,Trail,4bf58dd8d48988d159941735
12,San Francisco State University,37.7208542626991,-122.47708049999999,0,Yoga Flow SF,514772bce4b00b9d3b82851b,37.72492275630799,-122.46242120711725,Yoga Studio,Yoga Studios,Yoga Studio,4bf58dd8d48988d102941735
13,San Francisco State University,37.7208542626991,-122.47708049999999,0,Pet Food Express,4abad156f964a5200e8320e3,37.73017119738308,-122.4757099302423,Pet Store,Pet Stores,Pet Store,4bf58dd8d48988d100951735
14,San Francisco State University,37.7208542626991,-122.47708049999999,0,Holy Trinity Center,4ab30236f964a520466d20e3,37.714081227266895,-122.48305982581438,Church,Churches,Church,4bf58dd8d48988d132941735
15,San Francisco State University,37.7208542626991,-122.47708049999999,0,Typo,4f1b310ce4b0b4fde9126d09,37.728020914556545,-122.47699856618559,Hobby Shop,Hobby Shops,Hobbies,4bf58dd8d48988d1fb941735
16,San Francisco State University,37.7208542626991,-122.47708049999999,0,Stern Grove Festival,4c3a462d3849c92891b7c2b1,37.73603524671943,-122.4791052432743,Music Venue,Music Venues,Music Venue,4bf58dd8d48988d1e5931735
17,San Francisco State University,37.7208542626991,-122.47708049999999,0,Stonestown YMCA,4b7eade5f964a520cdf82fe3,37.730936304260915,-122.47657453461501,Gym,Gyms,Gym,4bf58dd8d48988d176941735
18,San Francisco State University,37.7208542626991,-122.47708049999999,0,Sigmund Stern Grove,40f71a80f964a520b20a1fe3,37.7358879560395,-122.47670132319354,Park,Parks,Park,4bf58dd8d48988d163941735
19,San Francisco State University,37.7208542626991,-122.47708049999999,0,Fleming Golf Course,4df3d54bd1649c8a28e48f20,37.72486659802136,-122.49372551680322,Golf Course,Golf Courses,Golf Course,4bf58dd8d48988d1e6941735
20,San Francisco State University,37.7208542626991,-122.47708049999999,0,Zanze's Cheesecake,4b6cbea9f964a5201d512ce3,37.73008564259818,-122.46981131436273,Dessert Shop,Dessert Shops,Desserts,4bf58dd8d48988d1d0941735
